All-Defensive 1st Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
,Kobe Bryant,SF,Los Angeles Lakers,.459,28.3,6.3,5.4,0.5
,Marcus Camby,C,Denver Nuggets,.450,9.1,13.1,3.3,3.6
,Tim Duncan,C,San Antonio Spurs,.497,19.3,11.3,2.8,1.9
,Kevin Garnett,PF,Boston Celtics,.539,18.8,9.2,3.4,1.3
2007,Raja Bell,SG,Phoenix Suns,.432,14.7,3.2,2.5,0.3
,Bruce Bowen,SF,San Antonio Spurs,.405,6.2,2.7,1.4,0.3
,Kobe Bryant,SF,Los Angeles Lakers,.463,31.6,5.7,5.4,0.5
,Marcus Camby,C,Denver Nuggets,.473,11.2,11.7,3.2,3.3
,Tim Duncan,C,San Antonio Spurs,.546,20.0,10.6,3.4,2.4
2006,Metta World Peace,SF,Sacramento Kings,.404,17.6,5.1,3.6,0.7
,Bruce Bowen,SF,San Antonio Spurs,.433,7.5,3.9,1.5,0.4
,Kobe Bryant,SF,Los Angeles Lakers,.450,35.4,5.3,4.5,0.4
,Jason Kidd,PG,New Jersey Nets,.404,13.3,7.3,8.4,0.4
,Andrei Kirilenko,SF,Utah Jazz,.460,15.3,8.0,4.3,3.2
,Ben Wallace,PF,Detroit Pistons,.510,7.3,11.3,1.9,2.2
2005,Bruce Bowen,SF,San Antonio Spurs,.420,8.2,3.5,1.5,0.5
,Tim Duncan,C,San Antonio Spurs,.496,20.3,11.1,2.7,2.6
,Kevin Garnett,PF,Minnesota Timberwolves,.502,22.2,13.5,5.7,1.4
,Larry Hughes,SG,Washington Wizards,.430,22.0,6.3,4.7,0.3
,Ben Wallace,PF,Detroit Pistons,.453,9.7,12.2,1.7,2.4
2004,Metta World Peace,SF,Indiana Pacers,.421,18.3,5.3,3.7,0.7
,Bruce Bowen,SF,San Antonio Spurs,.420,6.9,3.1,1.4,0.4
,Kobe Bryant,SF,Los Angeles Lakers,.438,24.0,5.5,5.1,0.4
,Kevin Garnett,PF,Minnesota Timberwolves,.499,24.2,13.9,5.0,2.2
,Ben Wallace,PF,Detroit Pistons,.421,9.5,12.4,1.7,3.0
2003,Kobe Bryant,SF,Los Angeles Lakers,.451,30.0,6.9,5.9,0.8
,Doug Christie,SG,Sacramento Kings,.479,9.4,4.3,4.7,0.5
,Tim Duncan,C,San Antonio Spurs,.513,23.3,12.9,3.9,2.9
,Kevin Garnett,PF,Minnesota Timberwolves,.502,23.0,13.4,6.0,1.6
,Ben Wallace,PF,Detroit Pistons,.481,6.9,15.4,1.6,3.2
2002,Tim Duncan,C,San Antonio Spurs,.508,25.5,12.7,3.7,2.5
,Kevin Garnett,PF,Minnesota Timberwolves,.470,21.2,12.1,5.2,1.6
,Jason Kidd,PG,New Jersey Nets,.391,14.7,7.3,9.9,0.2
,Gary Payton,PG,Seattle SuperSonics,.467,22.1,4.8,9.0,0.3
,Ben Wallace,PF,Detroit Pistons,.531,7.6,13.0,1.4,3.5
2001,Tim Duncan,C,San Antonio Spurs,.499,22.2,12.2,3.0,2.3
,Kevin Garnett,PF,Minnesota Timberwolves,.477,22.0,11.4,5.0,1.8
,Jason Kidd,PG,Phoenix Suns,.411,16.9,6.4,9.8,0.3
,Dikembe Mutombo,C,Philadelphia 76ers,.484,10.0,13.5,1.0,2.7
,Gary Payton,PG,Seattle SuperSonics,.456,23.1,4.6,8.1,0.3
2000,Kobe Bryant,SF,Los Angeles Lakers,.468,22.5,6.3,4.9,0.9
,Tim Duncan,C,San Antonio Spurs,.490,23.2,12.4,3.2,2.2
,Kevin Garnett,PF,Minnesota Timberwolves,.497,22.9,11.8,5.0,1.6
,Alonzo Mourning,C,Miami Heat,.551,21.7,9.5,1.6,3.7
,Gary Payton,PG,Seattle SuperSonics,.448,24.2,6.5,8.9,0.2
1999,Tim Duncan,C,San Antonio Spurs,.495,21.7,11.4,2.4,2.5
,Jason Kidd,PG,Phoenix Suns,.444,16.9,6.8,10.8,0.4
,Karl Malone,PF,Utah Jazz,.493,23.8,9.4,4.1,0.6
,Alonzo Mourning,C,Miami Heat,.511,20.1,11.0,1.6,3.9
,Gary Payton,PG,Seattle SuperSonics,.434,21.7,4.9,8.7,0.2
,Scottie Pippen,SF,Houston Rockets,.432,14.5,6.5,5.9,0.7
1998,Karl Malone,PF,Utah Jazz,.530,27.0,10.3,3.9,0.9
,Dikembe Mutombo,C,Atlanta Hawks,.537,13.4,11.4,1.0,3.4
,Gary Payton,PG,Seattle SuperSonics,.453,19.2,4.6,8.3,0.2
,Scottie Pippen,SF,Chicago Bulls,.447,19.1,5.2,5.8,1.0
,Michael Jordan,G,Chicago Bulls,.465,28.7,5.8,3.5,0.5
1997,Karl Malone,PF,Utah Jazz,.550,27.4,9.9,4.5,0.6
,Dikembe Mutombo,C,Atlanta Hawks,.527,13.3,11.6,1.4,3.3
,Gary Payton,PG,Seattle SuperSonics,.476,21.8,4.6,7.1,0.2
,Scottie Pippen,SF,Chicago Bulls,.474,20.2,6.5,5.7,0.5
,Michael Jordan,G,Chicago Bulls,.486,29.6,5.9,4.3,0.5
1996,Gary Payton,PG,Seattle SuperSonics,.484,19.3,4.2,7.5,0.2
,Scottie Pippen,SF,Chicago Bulls,.463,19.4,6.4,5.9,0.7
,David Robinson,C,San Antonio Spurs,.516,25.0,12.2,3.0,3.3
,Dennis Rodman,F,Chicago Bulls,.480,5.5,14.9,2.5,0.4
,Michael Jordan,G,Chicago Bulls,.495,30.4,6.6,4.3,0.5
1995,Mookie Blaylock,G,Atlanta Hawks,.425,17.2,4.9,7.7,0.3
,Gary Payton,PG,Seattle SuperSonics,.509,20.6,3.4,7.1,0.2
,Scottie Pippen,SF,Chicago Bulls,.480,21.4,8.1,5.2,1.1
,David Robinson,C,San Antonio Spurs,.530,27.6,10.8,2.9,3.2
,Dennis Rodman,F,San Antonio Spurs,.571,7.1,16.8,2.0,0.5
1994,Mookie Blaylock,G,Atlanta Hawks,.411,13.8,5.2,9.7,0.5
,Charles Oakley,PF,New York Knicks,.478,11.8,11.8,2.7,0.2
,Hakeem Olajuwon,C,Houston Rockets,.528,27.3,11.9,3.6,3.7
,Gary Payton,PG,Seattle SuperSonics,.504,16.5,3.3,6.0,0.2
,Scottie Pippen,SF,Chicago Bulls,.491,22.0,8.7,5.6,0.8
1993,Hakeem Olajuwon,C,Houston Rockets,.529,26.1,13.0,3.5,4.2
,Scottie Pippen,SF,Chicago Bulls,.473,18.6,7.7,6.3,0.9
,Dennis Rodman,F,Detroit Pistons,.427,7.5,18.3,1.6,0.7
,Michael Jordan,G,Chicago Bulls,.495,32.6,6.7,5.5,0.8
,Joe Dumars,G,Detroit Pistons,.466,23.5,1.9,4.0,0.1
1992,Scottie Pippen,SF,Chicago Bulls,.506,21.0,7.7,7.0,1.1
,David Robinson,C,San Antonio Spurs,.551,23.2,12.2,2.7,4.5
,Dennis Rodman,F,Detroit Pistons,.539,9.8,18.7,2.3,0.9
,Michael Jordan,G,Chicago Bulls,.519,30.1,6.4,6.1,0.9
,Joe Dumars,G,Detroit Pistons,.448,19.9,2.3,4.6,0.1
1991,David Robinson,C,San Antonio Spurs,.552,25.6,13.0,2.5,3.9
,Dennis Rodman,F,Detroit Pistons,.493,8.2,12.5,1.0,0.7
,Michael Jordan,G,Chicago Bulls,.539,31.5,6.0,5.5,1.0
,Buck Williams,F,Portland Trail Blazers,.602,11.7,9.4,1.2,0.6
,Alvin Robertson,G,Milwaukee Bucks,.485,13.6,5.7,5.5,0.2
1990,Hakeem Olajuwon,C,Houston Rockets,.501,24.3,14.0,2.9,4.6
,Dennis Rodman,F,Detroit Pistons,.581,8.8,9.7,0.9,0.7
,Michael Jordan,G,Chicago Bulls,.526,33.6,6.9,6.3,0.7
,Buck Williams,F,Portland Trail Blazers,.548,13.6,9.8,1.4,0.5
,Joe Dumars,G,Detroit Pistons,.480,17.8,2.8,4.9,0.0
1989,Dennis Rodman,F,Detroit Pistons,.595,9.0,9.4,1.2,0.9
,Michael Jordan,G,Chicago Bulls,.538,32.5,8.0,8.0,0.8
,Joe Dumars,G,Detroit Pistons,.505,17.2,2.5,5.7,0.1
,Mark Eaton,C,Utah Jazz,.462,6.2,10.3,1.0,3.8
,Larry Nance,F,Cleveland Cavaliers,.539,17.2,8.0,2.2,2.8
1988,Hakeem Olajuwon,C,Houston Rockets,.514,22.8,12.1,2.1,2.7
,Michael Jordan,G,Chicago Bulls,.535,35.0,5.5,5.9,1.6
,Kevin McHale,,Boston Celtics,No stats available.
,Michael Cooper,,Los Angeles Lakers,No stats available.
,Rodney McCray,,Houston Rockets,No stats available.
1987,Hakeem Olajuwon,C,Houston Rockets,.508,23.4,11.4,2.9,3.4
,Alvin Robertson,G,San Antonio Spurs,.466,17.7,5.2,5.2,0.4
,Kevin McHale,,Boston Celtics,No stats available.
,Michael Cooper,,Los Angeles Lakers,No stats available.
,Dennis Johnson,,Boston Celtics,No stats available.
1986,Mark Eaton,C,Utah Jazz,.470,8.5,8.4,1.3,4.6
,Kevin McHale,,Boston Celtics,No stats available.
,Maurice Cheeks,,Philadelphia 76ers,No stats available.
,Sidney Moncrief,G,Milwaukee Bucks,No stats available.
,Paul Pressey,,Milwaukee Bucks,No stats available.
1985,Mark Eaton,C,Utah Jazz,.449,9.7,11.3,1.5,5.6
,Maurice Cheeks,,Philadelphia 76ers,No stats available.
,Michael Cooper,,Los Angeles Lakers,No stats available.
,Sidney Moncrief,G,Milwaukee Bucks,No stats available.
,Paul Pressey,,Milwaukee Bucks,No stats available.
1984,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Tree Rollins,C,Atlanta Hawks,No stats available.
,Maurice Cheeks,,Philadelphia 76ers,No stats available.
,Michael Cooper,,Los Angeles Lakers,No stats available.
,Sidney Moncrief,G,Milwaukee Bucks,No stats available.
1983,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Moses Malone,C,Philadelphia 76ers,No stats available.
,Maurice Cheeks,,Philadelphia 76ers,No stats available.
,Dennis Johnson,,Phoenix Suns,No stats available.
,Sidney Moncrief,G,Milwaukee Bucks,No stats available.
,Danny Roundfield,,Atlanta Hawks,No stats available.
1982,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Michael Cooper,,Los Angeles Lakers,No stats available.
,Dennis Johnson,,Phoenix Suns,No stats available.
,Caldwell Jones,,Philadelphia 76ers,No stats available.
,Danny Roundfield,,Atlanta Hawks,No stats available.
1981,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.
,Dennis Johnson,,Phoenix Suns,No stats available.
,Caldwell Jones,,Philadelphia 76ers,No stats available.
,Micheal Richardson,,New York Knicks,No stats available.
1980,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.
,Donald Buse,,Phoenix Suns,No stats available.
,Dennis Johnson,,Seattle SuperSonics,No stats available.
,Micheal Richardson,,New York Knicks,No stats available.
,Danny Roundfield,,Atlanta Hawks,No stats available.
1979,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.
,Donald Buse,,Phoenix Suns,No stats available.
,Bob Dandridge,GF,Washington Bullets,No stats available.
,Dennis Johnson,,Seattle SuperSonics,No stats available.
1978,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Bill Walton,,Portland Trail Blazers,No stats available.
,Donald Buse,,Phoenix Suns,No stats available.
,Lionel Hollins,,Portland Trail Blazers,No stats available.
,Maurice Lucas,,Portland Trail Blazers,No stats available.
1977,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,Bill Walton,,Portland Trail Blazers,No stats available.
,Donald Buse,,Indiana Pacers,No stats available.
,E. Coleman,,Golden State Warriors,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
1976,John Havlicek,,Boston Celtics,No stats available.
,David Cowens,,Boston Celtics,No stats available.
,Paul Silas,,Boston Celtics,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
,Stanley Washington,,Seattle SuperSonics,No stats available.
1975,John Havlicek,,Boston Celtics,No stats available.
,Walter Frazier,,New York Knicks,No stats available.
,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.
,Paul Silas,,Boston Celtics,No stats available.
,Jerry Sloan,,Chicago Bulls,No stats available.
1974,John Havlicek,,Boston Celtics,No stats available.
,David DeBusschere,,New York Knicks,No stats available.
,Walter Frazier,,New York Knicks,No stats available.
,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.
,Jerry Sloan,,Chicago Bulls,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
1973,John Havlicek,,Boston Celtics,No stats available.
,David DeBusschere,,New York Knicks,No stats available.
,Walter Frazier,,New York Knicks,No stats available.
,Wilt Chamberlain,,Los Angeles Lakers,No stats available.
,Jerry West,,Los Angeles Lakers,No stats available.
1972,John Havlicek,,Boston Celtics,No stats available.
,David DeBusschere,,New York Knicks,No stats available.
,Walter Frazier,,New York Knicks,No stats available.
,Wilt Chamberlain,,Los Angeles Lakers,No stats available.
,Jerry West,,Los Angeles Lakers,No stats available.
,Jerry Sloan,,Chicago Bulls,No stats available.
1971,David DeBusschere,,New York Knicks,No stats available.
,Walter Frazier,,New York Knicks,No stats available.
,Nathaniel Thurmond,,San Francisco Warriors,No stats available.
,Jerry West,,Los Angeles Lakers,No stats available.
,Gus Johnson,FC,Baltimore Bullets,No stats available.
1970,David DeBusschere,,New York Knicks,No stats available.
,Walter Frazier,,New York Knicks,No stats available.
,Willis Reed,,New York Knicks,No stats available.
,Jerry West,,Los Angeles Lakers,No stats available.
,Gus Johnson,FC,Baltimore Bullets,No stats available.
1969,David DeBusschere,,New York Knicks,No stats available.
,Walter Frazier,,New York Knicks,No stats available.
,Nathaniel Thurmond,,San Francisco Warriors,No stats available.
,Bill Russell,,Boston Celtics,No stats available.
,Jerry Sloan,,Chicago Bulls,No stats available.
