INDEX,PLAYER_ID,PLAYER_NAME,R_PPG,R_APG,R_RPG,R_SPG,R_BPG,R_FG,R_eFG,R_TS,P_PPG,P_APG,P_RPG,P_SPG,P_BPG,P_FG,P_eFG,P_TS
38,202374,Solomon Alabi,1.5,0.2,2.3,0.2,0.4,0.314,0.314,0.352,0,0,0,0,0,0,0,0
39,76019,Mark Alarie,7.5,1.1,3.4,0.4,0.3,0.475,0.483,0.514,5.8,0.2,1.5,0.5,0.5,0.588,0.618,0.643
40,76020,Gary Alcorn,3.3,0.3,4.2,0.0,0.0,0.293,0.293,0.333,0,0,0,0,0,0,0,0
41,1630583,Santi Aldama,7.6,1.1,4.2,0.5,0.5,0.457,0.533,0.564,6.5,1.2,4.3,0.5,0,0.455,0.561,0.576
42,203128,Furkan Aldemir,2.3,0.7,4.3,0.4,0.4,0.513,0.513,0.517,0,0,0,0,0,0,0,0
43,202332,Cole Aldrich,3.0,0.5,3.3,0.4,0.7,0.529,0.529,0.563,3.0,0.3,3.9,0.5,0.3,0.583,0.583,0.581
44,200746,LaMarcus Aldridge,19.0,1.9,8.0,0.7,1.1,0.492,0.5,0.545,20.8,1.7,8.5,0.7,1.4,0.455,0.461,0.516
45,76021,Chuck Aleksinas,5.1,0.5,3.6,0.2,0.2,0.478,0.478,0.509,0,0,0,0,0,0,0,0
46,1626146,Cliff Alexander,1.2,0.0,0.8,0.1,0.2,0.5,0.5,0,0,0,0,0,0,0,0,0
47,724,Cory Alexander,5.9,2.8,1.7,0.9,0.1,0.397,0.477,0.514,2.9,1.0,1.0,0.2,0,0.417,0.438,0.48
48,2042,Courtney Alexander,9.2,1.1,2.2,0.6,0.1,0.421,0.434,0.486,3.6,0.2,0.8,0.4,0,0.438,0.469,0.507
49,76022,Gary Alexander,1.7,0.2,1.4,0.3,0.0,0.571,0.571,0.529,0,0,0,0,0,0,0,0
50,201570,Joe Alexander,4.2,0.7,1.8,0.2,0.4,0.41,0.442,0.488,0,0,0,0,0,0,0,0
51,1629734,Kyle Alexander,1.0,0.0,1.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0
52,1630234,Ty-Shon Alexander,0.6,0.4,0.7,0.0,0.1,0.25,0.333,0.349,2.0,0,0,0,0,1.0,1.0,0
53,2349,Victor Alexander,8.9,0.9,4.8,0.5,0.6,0.518,0.522,0.541,1.4,0.2,1.4,0.4,0,0.5,0.5,0.543
54,1629638,Nickeil Alexander-Walker,8.5,2.1,2.4,0.6,0.3,0.396,0.481,0.503,7.8,1.3,1.8,0.7,0.2,0.459,0.595,0.606
55,76024,Steve Alford,4.7,1.1,0.9,0.6,0.1,0.458,0.487,0.529,4.2,1.2,0.7,0.2,0,0.417,0.479,0.52
56,1628959,Rawle Alkins,3.7,1.3,2.6,0.1,0.0,0.333,0.372,0.418,0,0,0,0,0,0,0,0
57,76028,Bob Allen,1.8,0.4,2.1,0.0,0.0,0.326,0.326,0.408,1.3,0,2.0,0,0,0.0,0.0,0.282
58,1628960,Grayson Allen,9.7,1.7,2.8,0.6,0.2,0.435,0.562,0.596,8.3,1.0,2.5,0.5,0.2,0.429,0.555,0.57
59,1628386,Jarrett Allen,12.1,1.5,9.0,0.6,1.4,0.628,0.632,0.661,10.2,2.3,9.3,0.6,1.1,0.598,0.598,0.647
60,706,Jerome Allen,2.9,1.8,1.1,0.4,0.1,0.351,0.415,0.45,0,0,0,0,0,0,0,0
61,1628443,Kadeem Allen,5.5,2.3,1.5,0.5,0.2,0.435,0.488,0.538,0,0,0,0,0,0,0,0
