All-Rookie 2nd Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2008,Juan Carlos Navarro,PG,Memphis Grizzlies,.402,10.9,2.6,2.2,0.0
,Carl Landry,PF,Houston Rockets,.616,8.1,4.9,0.5,0.2
,Rodney Stuckey,PG,Detroit Pistons,.401,7.6,2.3,2.8,0.1
,Thaddeus Young,PF,Philadelphia 76ers,.539,8.2,4.2,0.8,0.1
,Jamario Moon,SF,Toronto Raptors,.485,8.5,6.2,1.2,1.4
2007,Paul Millsap,PF,Utah Jazz,.525,6.8,5.2,0.8,0.9
,Adam Morrison,SF,Charlotte Bobcats,.376,11.8,2.9,2.1,0.1
,Rajon Rondo,PG,Boston Celtics,.418,6.4,3.7,3.8,0.1
,Craig Smith,PF,Minnesota Timberwolves,.531,7.4,5.1,0.6,0.2
,Tyrus Thomas,PF,Chicago Bulls,.475,5.2,3.7,0.6,1.1
,Marcus Williams,PG,New Jersey Nets,.395,6.8,2.1,3.3,0.0
,Walter Herrmann Heinrich,PF,Charlotte Bobcats,.527,9.2,2.9,0.5,0.1
2006,Raymond Felton,G,Charlotte Bobcats,.391,11.9,3.3,5.6,0.1
,Ryan Gomes,SF,Boston Celtics,.487,7.6,4.9,1.0,0.1
,Danny Granger,SF,Indiana Pacers,.462,7.5,4.9,1.2,0.8
,Luther Head,PG,Houston Rockets,.403,8.8,3.3,2.7,0.1
,Marvin Williams,F,Atlanta Hawks,.443,8.5,4.8,0.8,0.3
2005,Nenad Krstic,C,New Jersey Nets,.493,10.0,5.3,1.0,0.8
,Josh Childress,F,Atlanta Hawks,.470,10.1,6.0,1.9,0.4
,Al Jefferson,C,Boston Celtics,.528,6.7,4.4,0.3,0.8
,Josh Smith,PF,Atlanta Hawks,.455,9.7,6.2,1.7,1.9
,Jameer Nelson,G,Orlando Magic,.455,8.7,2.4,3.0,0.0
2004,T.J. Ford,PG,Milwaukee Bucks,.384,7.1,3.2,6.5,0.1
,Jarvis Hayes,SF,Washington Wizards,.400,9.6,3.8,1.5,0.2
,Josh Howard,SF,Dallas Mavericks,.430,8.6,5.5,1.4,0.8
,Udonis Haslem,PF,Miami Heat,.459,7.3,6.3,0.7,0.3
,Marquis Daniels,SG,Dallas Mavericks,.494,8.5,2.6,2.1,0.2
2003,Manu Ginobili,G,San Antonio Spurs,.438,7.6,2.3,2.0,0.2
,Gordan Giricek,SG,Orlando Magic,.436,12.3,3.1,1.8,0.1
,Carlos Boozer,PF,Cleveland Cavaliers,.536,10.0,7.5,1.3,0.6
,Jay Williams,G,Chicago Bulls,.399,9.5,2.6,4.7,0.2
,J.R. Bremer,PG,Boston Celtics,.369,8.3,2.3,2.6,0.0
2002,Zeljko Rebraca,C,Detroit Pistons,.505,6.9,3.9,0.5,1.0
,Eddie Griffin,PF,Houston Rockets,.366,8.8,5.7,0.7,1.8
,Richard Jefferson,F,New Jersey Nets,.457,9.4,3.7,1.8,0.6
,Joe Johnson,G,Phoenix Suns,.430,7.5,3.3,2.3,0.3
,Vladimir Radmanovic,SF,Seattle SuperSonics,.412,6.7,3.8,1.3,0.4
,Jamaal Tinsley,PG,Indiana Pacers,.380,9.4,3.7,8.1,0.5
