INDEX,ID,PLAYER_NAME,REG_OFF_REB,REG_DEF_REB,PLY_OFF_REB,PLY_DEF_REB
98,76043,Mitchell Anderson,1.2,1.6,0.6,0.2
99,98,Nick Anderson,1.3,3.8,1.1,3.8
100,76045,Richard Anderson,1.1,2.4,0.5,1.3
101,76046,Ron Anderson,1.3,2.2,0.9,2.0
102,201583,Ryan Anderson,1.9,3.3,1.2,2.5
103,1000,Shandon Anderson,0.8,2.3,0.9,1.7
104,335,Willie Anderson,1.0,2.8,0.7,2.1
105,76048,Wally Anderzunas,0,0,0,0
106,101149,Martynas Andriuskevicius,0.2,0.5,0,0
107,76049,Don Anielak,0,0,0,0
108,1628387,Ike Anigbogu,0.4,0.4,0,0
109,76050,Michael Ansley,2.1,2.1,0,0
110,1512,Chris Anstey,1.1,2.3,0,0
111,203507,Giannis Antetokounmpo,1.7,7.8,2.4,9.6
112,1628961,Kostas Antetokounmpo,0.3,0.8,0,0
113,203648,Thanasis Antetokounmpo,0.7,1.1,0.2,0.4
114,2546,Carmelo Anthony,1.6,4.6,1.8,4.9
115,1630175,Cole Anthony,0.7,4.3,0,0
116,21,Greg Anthony,0.4,1.5,0.3,0.9
117,201202,Joel Anthony,1.1,1.6,1.3,1.8
118,203544,Pero Antic,1.0,2.5,0.9,2.3
119,1628384,O.G. Anunoby,1.1,3.2,1.6,2.9
120,203951,Keith Appling,0.0,0.2,0,0
121,2737,Rafael Araujo,0.9,1.9,0.6,1.6
122,76053,Stacey Arceneaux,0,0,0,0
123,76054,Nate Archibald,0.5,1.6,0.3,1.3
124,2425,Robert Archibald,0.6,1.0,0,0
125,1627853,Ryan Arcidiacono,0.2,1.6,0,0
126,76055,Jim Ard,1.1,2.7,0.6,0.8
127,2240,Gilbert Arenas,0.8,3.1,0.6,2.8
128,2772,Trevor Ariza,1.0,3.8,1.0,4.0
129,76056,Paul Arizin,0,0,0,0
130,76057,Joe Arlauckas,0.7,0.8,0,0
131,769,B.J. Armstrong,0.3,1.5,0.2,1.2
132,76061,Bob Armstrong,0,0,0,0
133,2220,Brandon Armstrong,0.2,0.4,0.1,0.1
134,353,Darrell Armstrong,0.8,1.9,0.7,1.6
135,200756,Hilton Armstrong,1.0,1.6,0.7,0.9
136,76060,Paul Armstrong,0,0,0,0
137,76059,Tate Armstrong,0.3,0.6,0,0
138,76062,Jesse Arnelle,0,0,0,0
139,76063,Jay Arnette,0,0,0,0
140,76064,Bob Arnzen,0,0,0,0
141,2306,Carlos Arroyo,0.4,1.3,0.2,0.6
142,201589,Darrell Arthur,1.1,2.4,1.0,1.4
143,76065,John Arthurs,0,0,0,0
144,1628503,Jamel Artis,0.3,2.3,0,0
145,201600,Omer Asik,2.2,4.9,1.9,3.6
146,355,Vincent Askew,0.9,1.7,0.7,1.2
147,173,Keith Askins,1.1,1.9,0.8,1.3
148,76068,Don Asmonga,0,0,0,0
149,76069,Richard Atha,0,0,0,0
150,1088,Chucky Atkins,0.3,1.4,0.3,1.4
151,76070,Alvin Attles,0,0,0,0
152,76071,Chet Aubuchon,0,0,0,0
153,278,Stacey Augmon,1.3,1.9,0.7,1.6
154,201571,D.J. Augustin,0.3,1.6,0.2,1.0
155,200788,James Augustine,0.6,0.6,0.0,1.0
156,1134,Ike Austin,1.4,3.3,1.2,3.1
157,76073,John Austin,0,0,0,0
158,76074,Ken Austin,0.3,0.1,0,0
159,1630166,Deni Avdija,0.7,4.8,0,0
160,138,Anthony Avent,1.6,2.9,1.3,0.8
161,76076,William Averitt,0.3,1.0,0,0
162,1895,William Avery,0.1,0.5,0.0,0.5
163,76078,Dennis Awtrey,1.3,2.9,1.0,2.2
164,1630555,Joel Ayayi,0.1,0.3,0,0
165,202970,Gustavo Ayon,1.4,3.0,0.0,0.0
166,201965,Jeff Ayres,0.8,1.8,0.3,0.8
167,1629028,Deandre Ayton,3.0,7.4,2.9,7.6
168,101235,Kelenna Azubuike,1.2,2.8,0.3,0.4
169,1628962,Udoka Azubuike,0.8,2.2,0.0,1.0
170,203569,Chris Babb,0.3,0.9,0,0
171,202337,Luke Babbitt,0.3,1.9,0.0,0.0
172,76079,Milos Babic,0.4,0.6,0,0
173,76080,Johnny Bach,0,0,0,0
174,1628407,Dwayne Bacon,0.3,2.3,0,0
175,1630641,Ibou Badji,0,0,0,0
176,76081,Jim Baechtold,0,0,0,0
177,2053,Dalibor Bagaric,0.9,1.6,0,0
178,76082,John Bagley,0.6,2.0,0.6,1.8
179,1628963,Marvin Bagley III,2.4,4.8,0,0
180,76084,Carl Bailey,0.0,0.0,0,0
181,76083,Gus Bailey,0.6,1.0,0.8,1.6
182,76085,James Bailey,1.7,3.3,0.7,1.5
183,1847,Thurl Bailey,1.4,3.7,1.7,3.9
184,1753,Toby Bailey,0.7,1.0,0.2,0.2
185,203946,Cameron Bairstow,0.3,0.7,0,0
186,1858,Mark Baker,0.0,0.0,0,0
187,2486,Maurice Baker,0.2,0.2,0,0
188,76089,Norm Baker,0,0,0,0
189,1627758,Ron Baker,0.2,1.3,0,0
190,452,Vin Baker,2.9,4.6,3.1,4.0
191,1627735,Wade Baldwin IV,0.3,1.0,0.1,0.9
192,1631116,Patrick Baldwin Jr.,0.0,1.3,0.0,1.0
193,200764,Renaldo Balkman,1.3,2.2,0.3,0.3
194,76090,Cedric Ball,0.7,0.9,0,0
195,1630163,LaMelo Ball,1.3,5.1,0,0
196,1628366,Lonzo Ball,1.0,4.7,0,0
197,76091,Greg Ballard,1.8,4.3,1.8,3.3
198,76092,Herschel Baltimore,0,0,0,0
199,1628964,Mo Bamba,1.6,4.2,0.0,1.0
200,1631094,Paolo Banchero,1.2,5.7,0,0
201,1630217,Desmond Bane,0.6,3.5,0.6,3.7
202,76093,Gene Banks,2.2,3.7,2.0,3.0
203,2556,Marcus Banks,0.3,1.2,0.2,1.2
204,76094,Ken Bannister,1.1,2.4,0,0
205,76095,Mike Bantom,2.3,4.1,1.8,1.9
206,1630625,Dalano Banton,0.5,1.3,0.5,0.0
207,1627760,Cat Barber,0.3,0.7,0,0
208,76096,John Barber,0,0,0,0
209,2571,Leandro Barbosa,0.4,1.6,0.4,1.4
210,76097,Stephen Bardo,0.4,1.4,0,0
211,200826,J.J. Barea,0.3,1.8,0.4,1.6
212,200745,Andrea Bargnani,1.0,3.7,0.4,2.5
213,76098,Cliff Barker,0,0,0,0
214,76099,Tom Barker,1.6,3.7,0,0
215,787,Charles Barkley,4.0,7.7,4.1,8.7
216,2057,Erick Barkley,0.2,0.6,0,0
217,76102,Don Barksdale,0,0,0,0
218,1631230,Dominick Barlow,1.6,2.0,0,0
219,203084,Harrison Barnes,1.0,4.0,1.5,3.4
220,76103,Harry Barnes,0,0,0,0
221,76105,Jim Barnes,0,0,0,0
222,76104,Marvin Barnes,1.7,3.8,0,0
223,2440,Matt Barnes,1.1,3.5,1.2,2.9
224,1630567,Scottie Barnes,2.5,4.6,1.8,7.3
225,76107,Dick Barnett,0.2,0.6,0,0
226,76106,Jim Barnett,0.8,1.3,1.7,1.0
227,76108,John Barnhill,0,0,0,0
228,76109,Norton Barnhill,0.5,0.3,0,0
229,76110,Leo Barnhorst,0,0,0,0
230,76111,John Barr,0,0,0,0
231,76112,Mike Barr,0.5,1.3,0,0
232,76113,Thomas Barr,0,0,0,0
233,2857,Andre Barrett,0.3,0.7,0,0
234,76114,Ernie Barrett,0,0,0,0
235,1629628,RJ Barrett,0.9,4.5,0.6,4.8
236,2853,Earl Barron,1.3,2.2,0.0,0.0
237,344,Dana Barros,0.3,1.6,0.1,0.7
238,699,Brent Barry,0.5,2.6,0.4,1.7
239,1003,Drew Barry,0.1,1.0,0.0,0.5
240,468,Jon Barry,0.4,1.5,0.4,1.5
241,600013,Rick Barry,0.9,4.3,1.4,3.8
242,76117,Ed Bartels,0,0,0,0
243,76118,Vic Bartolome,0,0,0,0
244,203115,Will Barton,0.7,3.4,0.9,3.2
245,101188,Eddie Basden,0.4,1.1,0,0
246,76119,Jerry Baskerville,0.6,0.7,0,0
247,101138,Brandon Bass,1.5,3.0,1.4,3.0
248,1628238,Paris Bass,1.0,1.0,0,0
249,76120,Tim Bassett,2.1,4.2,0.6,0.0
250,1629646,Charles Bassey,1.7,2.7,0.3,1.3
251,1766,Maceo Baston,0.5,1.1,0.0,0.0
252,2370,Mengke Bateer,0.8,1.6,0,0
253,76121,Billyray Bates,0.8,0.9,0.8,2.0
254,1628966,Keita Bates-Diop,0.8,2.4,0.6,0.6
255,101212,Esteban Batista,1.0,1.5,0,0
256,2471,Mike Batiste,1.1,2.3,0,0
257,1499,Tony Battie,1.6,3.5,1.1,2.7
258,2203,Shane Battier,1.3,2.9,0.9,2.2
259,174,John Battle,0.3,1.1,0.3,1.0
260,76123,Kenny Battle,1.0,1.4,0.1,0.5
261,76124,Dave Batton,0.8,1.3,0,0
262,201587,Nicolas Batum,1.0,4.1,0.7,4.0
263,76125,Johnny Baum,0,0,0,0
264,76126,Frankie Baumholtz,0,0,0,0
265,2437,Lonny Baxter,1.1,1.8,0,0
266,201573,Jerryd Bayless,0.3,1.8,0.3,1.8
267,76127,Elgin Baylor,0,0,0,0
268,203382,Aron Baynes,1.5,3.0,1.3,2.3
269,76128,Sergei Bazarevich,0.1,0.6,0,0
270,203145,Kent Bazemore,0.4,2.8,0.4,3.2
271,1629647,Darius Bazley,0.8,4.5,0.3,6.4
272,76129,Ed Beach,0,0,0,0
273,203078,Bradley Beal,0.9,3.2,1.2,3.4
274,76130,Butch Beard,1.2,2.5,1.3,2.7
275,76131,Ralph Beard,0,0,0,0
276,2602,Jerome Beasley,0.0,0.5,0,0
277,1627736,Malik Beasley,0.4,2.3,0.5,1.9
278,201563,Michael Beasley,1.1,3.6,1.1,3.4
279,76133,Zelmo Beaty,1.3,3.4,0,0
280,201958,Rodrigue Beaubois,0.3,1.6,0.3,0.8
281,1630699,MarJon Beauchamp,0.7,1.5,0.0,0.5
282,76134,Byron Beck,0.8,1.0,0.4,0.8
283,1133,Corey Beck,0.4,1.0,0.2,0.0
284,76136,Ernie Beck,0,0,0,0
285,76137,Moe Becker,0,0,0,0
